ID;Betroffene URLs / Bereich;Status;Umsetzung / Begründung;Nächster Schritt
R1;23 historische Export-URLs;umgesetzt;Gezielte permanente Weiterleitungen auf denselben bestehenden Artikel-/Seitenpfad. 6.303 historische Impressionen. Kein pauschaler Root-Fallback.;Nach Veröffentlichung live prüfen.
R2;/adblue-deaktivieren/;benötigt meine Entscheidung;"21 historische Impressionen; Wechsel von Deaktivierungsangebot zu Diagnose-/Reparaturintention nicht eindeutig. Keine Weiterleitung angelegt.";Entscheiden, ob /adblue-service der inhaltlich richtige Nachfolger ist.
T1;Alle 61 bisherigen Inhaltsseiten und /trockeneisreinigung;umgesetzt;Canonical-/Metadaten-Host auf den bereits live genutzten www-Host ausgerichtet. Vorhandene Host-Weiterleitung unverändert.;Deployment und Google-Canonical anschließend prüfen.
T2;Sitemap und robots.txt;umgesetzt;"Drei noindex-Rechtsseiten und zwei Canonical-Duplikate aus Sitemap genommen; alle fünf robots-Sperren entfernt, damit noindex lesbar bleibt.";Noindex nach Veröffentlichung in der URL-Prüfung kontrollieren.
L1;Startseite, Leistungen, Blog und Ratgeber;umgesetzt;42 von 44 ursprünglichen Inhaltslinkvorschlägen umgesetzt, plus passende Ratgeberverknüpfungen.;Zwei zurückgestellte Vorschläge betreffen den nicht erstellten Felgenpflege-Beitrag.
L2;48 Startseiten-Sprunglinks und irreführender Kontaktanker;umgesetzt;Vorhandene Ziele verwendet und Anchor-Texte korrigiert. Keine fehlenden IDs im aktuellen Gesamtscan.;Keine weitere Maßnahme nötig.
K1;Drei Lackhärte-Fassungen;umgesetzt;"Zwei identische Altvarianten verweisen kanonisch auf /blog/harte-weiche-autolacke-lackaufbereitung/. Alle URLs bleiben erreichbar; eindeutige Titles.";Google-Auswahl nach Veröffentlichung beobachten, nicht als Rankinggewinn ausgeben.
K2;Chiptuning, Keramik, Innenraum, Leasing, Autoaufbereitung;teilweise umgesetzt;"Leistungsziele gestärkt, Titel/Intentionen präzisiert und Informationsfragen ergänzt; keine blind zusammengelegten URLs.";Restliche breite Textüberschneidungen mit Query-URL-Daten bewerten.
K3;/ads;benötigt meine Entscheidung;Bestehende Indexierbarkeit, Formular, CTAs und Tracking erhalten. Canonical-Host korrigiert und Hauptseite verknüpft.;Dauerhaft organisches Ziel oder reine Kampagnenseite? Erst dann über noindex entscheiden.
C1;AdBlue-Service und drei AdBlue-Ratgeber;umgesetzt;"Irreführende pauschale Deaktivierungs-/Zeitversprechen in den drei Artikeln ersetzt; Diagnose, Rückrüstung und Zeitbedarf unterschieden. Blogteaser angepasst.";Fachlich geänderte Texte vor Veröffentlichung betriebsintern mitlesen.
C2;Sechs bestehende Stadtseiten;teilweise umgesetzt;Fiktiven Vor-Ort-Eindruck korrigiert: realer Standort Erfurt. Anfragevorbereitung und Erreichbarkeit ergänzt. Keine neue Stadtseite.;"Eigenständige lokale Belege/Anreiseinformationen fehlen; keine Fakten erfunden."
N1;/trockeneisreinigung;umgesetzt;Neue Leistungsseite aus belegtem Bestandsangebot, abgeleitetem Keyword und eigenständiger kommerzieller Intention.;"Kein gemessenes Suchvolumen; Bedarf und Wirkung nach Veröffentlichung beobachten."
N2;/blog/felgenversiegelung-pflege/;nicht umgesetzt;Kein Nachfragebeleg und keine Angaben zur tatsächlich verwendeten Versiegelung. Kein austauschbarer Ratgeber erzeugt.;Bei bestätigten Kundennachfragen und Produkthinweisen erneut prüfen.
T3;39 Seiten mit JSON-LD;umgesetzt;"Passende BreadcrumbList für sichtbare Artikelpfade; neue Service-Daten, vorhandenes AdBlue-Schema auf www.";Kein Rich-Result- oder Bewertungsversprechen.
T4;Große Bilddateien / Core Web Vitals;nicht umgesetzt;"Keine belastbare Laufzeitmessung. Originalbilder und Qualität erhalten; kein pauschales Umkodieren. Leeres inhaltliches Alt-Attribut ergänzt.";Leistungsdaten nach Veröffentlichung separat messen.
D1;Position 4–20 / CTR-Chancen;nicht umgesetzt;Klicks, Positionen, CTR und Query-URL-Zeitreihen fehlen in beiden Quellen.;"Passenden Search-Console-Export ergänzen; keine Kennzahlen erfinden."
Q1;Gesamtes Projekt;umgesetzt;"63 HTML-Routen, 135 lokale HTTP-Prüfungen, 188 inline JS-Blöcke geprüft; Ergebnisse passed.";Kein Deployment und kein SMTP-Testversand durchgeführt.
