URL;Seitentitel;Thema;Hauptkeyword (vermutet);Meta Description;Indexierbarkeit;Notizen;Dateipfad
https://powertech-performance.com/;Autoaufbereitung Erfurt – Fahrzeugpflege & Werterhalt | Powertech Performance;Startseite / Autoaufbereitung Erfurt Übersicht;Autoaufbereitung Erfurt;"Autoaufbereitung in Erfurt und im Umkreis von 150 km: Lackkorrektur, Keramikversiegelung, Innenraum-Detailing und Fahrzeugpflege von Powertech Performance.";index;Haupt-Landingpage;index.html
https://powertech-performance.com/adblue-service;"AdBlue-Service Erfurt | Diagnose, Reparatur & zulässige Lösungen";AdBlue-Diagnose & Reparatur;AdBlue Service Erfurt;"AdBlue-Fehler bei Pkw, Transporter oder Wohnmobil bis Baujahr 2021? Powertech Performance in Erfurt prüft Diagnose, Reparatur, Rückrüstung und zulässige Sonderanwendungen.";index;;adblue-service.html
https://powertech-performance.com/ads;Autoaufbereiter in Erfurt | Powertech Performance;Ads-Landingpage Autoaufbereiter;Autoaufbereiter Erfurt;Top-Qualität zu fairen Preisen – Termine ohne lange Wartezeit. Professionelle Autoaufbereitung in Erfurt von Benjamin Lemmer.;index;Vermutlich Kampagnen-Landingpage (Google/Meta Ads);ads.html
https://powertech-performance.com/anfrage-danke;Vielen Dank für Ihre Anfrage | Powertech Performance;Danke-Seite nach Formular-Anfrage;-;Ihre Anfrage ist bei Powertech Performance eingegangen. Benjamin Lemmer meldet sich schnellstmöglich bei Ihnen zurück.;noindex;"noindex, kein SEO-Ziel (Conversion-Seite)";anfrage-danke.html
https://powertech-performance.com/chiptuning;Chiptuning & Fahrzeugoptimierung in Erfurt | Powertech Performance;Chiptuning & Fahrzeugoptimierung;Chiptuning Erfurt;"Professionelles Chiptuning in Erfurt: Stage 1 & 2, AdBlue-/AGR-Lösungen und Öldruck-Optimierung von Benjamin Lemmer.";index;Konkurriert thematisch mit /blog/chiptuning-raum-erfurt/ und /blog/chiptuning-raumerfurt/;chiptuning.html
https://powertech-performance.com/eisenach;Autoaufbereitung Eisenach – Fahrzeugpflege & Werterhalt | Powertech Performance;Autoaufbereitung Eisenach (Standort-Landingpage);Autoaufbereitung Eisenach;"Professionelle Autoaufbereitung für Eisenach: Glanz, Schutz und Werterhalt für Ihr Fahrzeug. Jetzt individuelles Angebot sichern.";index;Städte-Cluster (Template-Text wie Gera/Gotha/Jena/Nordhausen/Suhl);eisenach.html
https://powertech-performance.com/fahrzeugaufbereitung-aus-erfurt;Fahrzeugaufbereitung aus Erfurt – Fahrzeugpflege & Werterhalt | Powertech Performance;Fahrzeugaufbereitung Erfurt (Service-Landingpage);Fahrzeugaufbereitung Erfurt;"Professionelle Autoaufbereitung in Erfurt: Glanz, Schutz und Werterhalt für Ihr Fahrzeug. Jetzt individuelles Angebot sichern.";index;Überschneidung mit Startseite und /blog/fahrzeugaufbereitung-erfurt/;fahrzeugaufbereitung-aus-erfurt.html
https://powertech-performance.com/gera;Autoaufbereitung Gera – Fahrzeugpflege & Werterhalt | Powertech Performance;Autoaufbereitung Gera (Standort-Landingpage);Autoaufbereitung Gera;"Professionelle Autoaufbereitung für Gera: Glanz, Schutz und Werterhalt für Ihr Fahrzeug. Jetzt individuelles Angebot sichern.";index;Städte-Cluster;gera.html
https://powertech-performance.com/glosar;Glossar – Autoaufbereitung in Erfurt | Powertech Performance;Glossar: Fachbegriffe Autoaufbereitung;Autoaufbereitung Glossar;"Alle wichtigen Begriffe rund um Autoaufbereitung, Keramikversiegelung und Fahrzeugpflege einfach erklärt.";index;;glosar.html
https://powertech-performance.com/gotha;Autoaufbereitung Gotha – Fahrzeugpflege & Werterhalt | Powertech Performance;Autoaufbereitung Gotha (Standort-Landingpage);Autoaufbereitung Gotha;"Professionelle Autoaufbereitung für Gotha: Glanz, Schutz und Werterhalt für Ihr Fahrzeug. Jetzt individuelles Angebot sichern.";index;Städte-Cluster;gotha.html
https://powertech-performance.com/jena;Autoaufbereitung Jena – Fahrzeugpflege & Werterhalt | Powertech Performance;Autoaufbereitung Jena (Standort-Landingpage);Autoaufbereitung Jena;"Professionelle Autoaufbereitung für Jena: Glanz, Schutz und Werterhalt für Ihr Fahrzeug. Jetzt individuelles Angebot sichern.";index;Städte-Cluster;jena.html
https://powertech-performance.com/luxus-aufbereitung;Keramikversiegelung mit 2 Jahren Garantie in Erfurt | Powertech Performance;Premium-Keramikversiegelung mit Garantie;Keramikversiegelung Erfurt Garantie;Keramikversiegelung mit Garantie – Glanz und Schutz für 2 Jahre. Premium-Autoaufbereitung in Erfurt von Benjamin Lemmer.;index;"Eine von vielen Keramikversiegelungs-Seiten, siehe Notiz-Cluster unten";luxus-aufbereitung.html
https://powertech-performance.com/nordhausen;Autoaufbereitung Nordhausen – Fahrzeugpflege & Werterhalt | Powertech Performance;Autoaufbereitung Nordhausen (Standort-Landingpage);Autoaufbereitung Nordhausen;"Professionelle Autoaufbereitung für Nordhausen: Glanz, Schutz und Werterhalt für Ihr Fahrzeug. Jetzt individuelles Angebot sichern.";index;Städte-Cluster;nordhausen.html
https://powertech-performance.com/online-termin-buchen;Online Termin buchen | Powertech Performance;Terminbuchung;Termin Autoaufbereitung Erfurt;"Besichtigungstermin vor Ort an der Halle in Erfurt buchen – kontaktieren Sie Benjamin Lemmer per Telefon, WhatsApp oder Kontaktformular.";index;;online-termin-buchen.html
https://powertech-performance.com/suhl;Autoaufbereitung Suhl – Fahrzeugpflege & Werterhalt | Powertech Performance;Autoaufbereitung Suhl (Standort-Landingpage);Autoaufbereitung Suhl;"Professionelle Autoaufbereitung für Suhl: Glanz, Schutz und Werterhalt für Ihr Fahrzeug. Jetzt individuelles Angebot sichern.";index;Städte-Cluster;suhl.html
https://powertech-performance.com/pages/agb.html;AGB – Powertech Performance;AGB;-;Allgemeine Geschäftsbedingungen von Powertech Performance.;noindex;"noindex, rechtliche Pflichtseite";pages/agb.html
https://powertech-performance.com/pages/cookie-einstellungen.html;Cookie-Einstellungen – Powertech Performance;Cookie-Einstellungen;-;"Verwalten Sie Ihre Cookie-Einwilligung für Powertech Performance: Notwendig, Statistik, Marketing und externe Medien.";noindex;"noindex, rechtliche Pflichtseite";pages/cookie-einstellungen.html
https://powertech-performance.com/pages/datenschutz.html;Datenschutzerklärung – Powertech Performance;Datenschutzerklärung;-;;noindex;"noindex, rechtliche Pflichtseite; keine Meta Description gesetzt";pages/datenschutz.html
https://powertech-performance.com/pages/impressum.html;Impressum – Powertech Performance;Impressum;-;;noindex;"noindex, rechtliche Pflichtseite; keine Meta Description gesetzt";pages/impressum.html
https://powertech-performance.com/pages/kontakt.html;Kontakt – Powertech Performance | Autoaufbereitung Erfurt;Kontaktseite;Kontakt Autoaufbereitung Erfurt;"Kontaktieren Sie Powertech Performance in Erfurt: Rufen Sie an, schreiben Sie uns eine E-Mail oder senden Sie Ihre Anfrage direkt über unser Kontaktformular.";index;;pages/kontakt.html
https://powertech-performance.com/pages/seitenuebersicht.html;Seitenübersicht – Powertech Performance;Sitemap / Seitenübersicht (HTML);-;Alle Seiten von Powertech Performance auf einen Blick.;noindex;"noindex, interne Navigationsseite";pages/seitenuebersicht.html
https://powertech-performance.com/blog/;Blog – Autoaufbereitung & Fahrzeugpflege | Powertech Performance;Blog-Übersicht;Autoaufbereitung Blog;"Tipps rund um Autoaufbereitung, Keramikversiegelung, Chiptuning und Fahrzeugpflege aus Erfurt – vom IHK-zertifizierten Profi Benjamin Lemmer.";index;;blog/index.html
https://powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;Wie oft sollte man sein Auto professionell aufbereiten lassen? | Powertech Performance;Empfohlener Rhythmus für Autoaufbereitung;wie oft Auto aufbereiten lassen;"Wie oft lohnt sich eine professionelle Autoaufbereitung wirklich? Benjamin Lemmer erklärt den passenden Rhythmus für Alltagsauto, Zweitwagen und Fahrzeuge vor dem Verkauf.";index;Einziger Blogartikel als flache .html-Datei statt /slug/-Ordner (Inkonsistenz);blog/wie-oft-auto-aufbereiten-lassen.html
