Keyword / Suchanfrage;bestehende Zielseite;Klicks;Impressionen;CTR;Position;Suchvolumen;CPC;Suchintention;Themencluster;Hauptkeyword oder Nebenkeyword;passende bestehende Seite;mögliche neue Seite;Kannibalisierungsrisiko;Priorität;Handlungsempfehlung;Begründung;Datenquelle;Datenart;URL-Impressionen (nicht Keyword-Messwert)
AdBlue Service Erfurt;https://powertech-performance.com/adblue-service;;;;;;;kommerziell / lokal;AdBlue / SCR / DPF;Hauptkeyword (vermutet);https://powertech-performance.com/adblue-service;;"K7: mittel; gemischte Informations-/Angebotsintention, widersprüchliche Positionierung";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Autoaufbereiter Erfurt;https://powertech-performance.com/ads;;;;;;;kommerziell / lokal;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/;;"K5: hoch; mehrere lokale Angebotsseiten";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Lackaufbereitung im Vergleich;https://powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";1
1-Step Politur;https://powertech-performance.com/blog/1-step-politur-erklaert/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/1-step-politur-erklaert/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
AdBlue deaktivieren Vor- und Nachteile;https://powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;;;;;;;informativ / teilweise kommerziell;AdBlue / SCR / DPF;Hauptkeyword (vermutet);https://powertech-performance.com/adblue-service;;"K7: mittel; gemischte Informations-/Angebotsintention, widersprüchliche Positionierung";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";7
AdBlue Deaktivierung;https://powertech-performance.com/blog/adblue-deaktivierung/;;;;;;;informativ / teilweise kommerziell;AdBlue / SCR / DPF;Hauptkeyword (vermutet);https://powertech-performance.com/adblue-service;;"K7: mittel; gemischte Informations-/Angebotsintention, widersprüchliche Positionierung";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Audi R8 Aufbereitung Erfurt;https://powertech-performance.com/blog/audi-r8-aufbereitung-erfurt-keramikversiegelung/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (vermutet);https://powertech-performance.com/blog/audi-r8-aufbereitung-erfurt-keramikversiegelung/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Aufbereiter vs. Detailer Unterschied;https://powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;;;;;;;informativ / teilweise kommerziell;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";1
Auto selber waschen Erfurt;https://powertech-performance.com/blog/auto-selber-waschen-erfurt/;;;;;;;informativ / teilweise kommerziell;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/auto-selber-waschen-erfurt/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";2
Keramikversiegelung Auto;https://powertech-performance.com/blog/blog-keramikversiegelung/;;;;;;;informativ / teilweise kommerziell;Keramikversiegelung;Hauptkeyword (vermutet);https://powertech-performance.com/luxus-aufbereitung;;"K3: hoch; breite Leistungsversprechen überlappen";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Boot Keramikversiegelung;https://powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (vermutet);https://powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";4
Chiptuning Raum Erfurt;https://powertech-performance.com/blog/chiptuning-raum-erfurt/;;;;;;;informativ / teilweise kommerziell;Chiptuning;Hauptkeyword (vermutet);https://powertech-performance.com/chiptuning;;"K2: hoch; gleiche kommerzielle Intention vermutet";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
