Keyword / Suchanfrage;bestehende Zielseite;Klicks;Impressionen;CTR;Position;Suchvolumen;CPC;Suchintention;Themencluster;Hauptkeyword oder Nebenkeyword;passende bestehende Seite;mögliche neue Seite;Kannibalisierungsrisiko;Priorität;Handlungsempfehlung;Status;Begründung;Datenquelle;Datenart;URL-Impressionen (nicht Keyword-Messwert);Ursprüngliches vermutetes Keyword;Veröffentlichung
AdBlue Service Erfurt;https://www.powertech-performance.com/adblue-service;;;;;;;kommerziell / lokal;AdBlue / SCR / DPF;Hauptkeyword (redaktionell);https://www.powertech-performance.com/adblue-service;;"K7: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;AdBlue Service Erfurt;ausstehend
Autoaufbereiter Erfurt;https://www.powertech-performance.com/ads;;;;;;;kommerziell / lokal;Autoaufbereitung;Nebenkeyword / Kampagnenvariante;https://www.powertech-performance.com/;;"K5: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;benötigt meine Entscheidung;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Autoaufbereiter Erfurt;ausstehend
Lackaufbereitung im Vergleich;https://www.powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;1;Lackaufbereitung im Vergleich;ausstehend
1-Step Politur;https://www.powertech-performance.com/blog/1-step-politur-erklaert/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/1-step-politur-erklaert/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;1-Step Politur;ausstehend
AdBlue deaktivieren Risiken;https://www.powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;;;;;;;informativ;AdBlue / SCR / DPF;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;;"K7: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;7;AdBlue deaktivieren Vor- und Nachteile;ausstehend
AdBlue Deaktivierung rückgängig machen;https://www.powertech-performance.com/blog/adblue-deaktivierung/;;;;;;;informativ;AdBlue / SCR / DPF;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/adblue-deaktivierung/;;"K7: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;AdBlue Deaktivierung;ausstehend
Audi R8 Aufbereitung Erfurt;https://www.powertech-performance.com/blog/audi-r8-aufbereitung-erfurt-keramikversiegelung/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/audi-r8-aufbereitung-erfurt-keramikversiegelung/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Audi R8 Aufbereitung Erfurt;ausstehend
Aufbereiter vs. Detailer Unterschied;https://www.powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;;;;;;;informativ / teilweise kommerziell;Autoaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;1;Aufbereiter vs. Detailer Unterschied;ausstehend
Auto selber waschen Erfurt;https://www.powertech-performance.com/blog/auto-selber-waschen-erfurt/;;;;;;;informativ;Autoaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/auto-selber-waschen-erfurt/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;2;Auto selber waschen Erfurt;ausstehend
Was ist Keramikversiegelung;https://www.powertech-performance.com/blog/blog-keramikversiegelung/;;;;;;;informativ;Keramikversiegelung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/blog-keramikversiegelung/;;"K3: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Keramikversiegelung Auto;ausstehend
